"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2024 eerste helft*"
"De Fryske Marren";"Opgesteld vermogen van zonnepanelen";"kWp";"119650"
"De Fryske Marren";"Opgesteld vermogen omvormers";"kW";"105540"
"De Fryske Marren";"Productie van zonnestroom";"mln kWh";"."
"Geertruidenberg";"Installaties";"aantal";"3998"
"Geertruidenberg";"Opgesteld vermogen van zonnepanelen";"kWp";"40103"
"Geertruidenberg";"Opgesteld vermogen omvormers";"kW";"34567"
"Geertruidenberg";"Productie van zonnestroom";"mln kWh";"."
"Geldrop-Mierlo";"Installaties";"aantal";"8069"
"Geldrop-Mierlo";"Opgesteld vermogen van zonnepanelen";"kWp";"40501"
"Geldrop-Mierlo";"Opgesteld vermogen omvormers";"kW";"37484"
"Geldrop-Mierlo";"Productie van zonnestroom";"mln kWh";"."
"Gemert-Bakel";"Installaties";"aantal";"6998"
"Gemert-Bakel";"Opgesteld vermogen van zonnepanelen";"kWp";"75387"
"Gemert-Bakel";"Opgesteld vermogen omvormers";"kW";"66407"
"Gemert-Bakel";"Productie van zonnestroom";"mln kWh";"."
"Gennep";"Installaties";"aantal";"3905"
"Gennep";"Opgesteld vermogen van zonnepanelen";"kWp";"46949"
"Gennep";"Opgesteld vermogen omvormers";"kW";"39494"
"Gennep";"Productie van zonnestroom";"mln kWh";"."
"Gilze en Rijen";"Installaties";"aantal";"4680"
"Gilze en Rijen";"Opgesteld vermogen van zonnepanelen";"kWp";"39439"
"Gilze en Rijen";"Opgesteld vermogen omvormers";"kW";"34973"
"Gilze en Rijen";"Productie van zonnestroom";"mln kWh";"."
"Goeree-Overflakkee";"Installaties";"aantal";"13113"
"Goeree-Overflakkee";"Opgesteld vermogen van zonnepanelen";"kWp";"185997"
"Goeree-Overflakkee";"Opgesteld vermogen omvormers";"kW";"161035"
"Goeree-Overflakkee";"Productie van zonnestroom";"mln kWh";"."
"Goes";"Installaties";"aantal";"10119"
"Goes";"Opgesteld vermogen van zonnepanelen";"kWp";"59234"
"Goes";"Opgesteld vermogen omvormers";"kW";"53418"
"Goes";"Productie van zonnestroom";"mln kWh";"."
"Goirle";"Installaties";"aantal";"4327"
"Goirle";"Opgesteld vermogen van zonnepanelen";"kWp";"31170"
"Goirle";"Opgesteld vermogen omvormers";"kW";"27920"
"Goirle";"Productie van zonnestroom";"mln kWh";"."
"Gooise Meren";"Installaties";"aantal";"7089"
"Gooise Meren";"Opgesteld vermogen van zonnepanelen";"kWp";"34847"
"Gooise Meren";"Opgesteld vermogen omvormers";"kW";"31516"
"Gooise Meren";"Productie van zonnestroom";"mln kWh";"."
